Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Value,clean_value
2022,OCT,STATE,6,6,TOTAL,"205,948,000",205948000
2022,OCT,STATE,16,6,TOTAL,"85,201,000",85201000
2022,OCT,STATE,17,6,TOTAL,"5,705,000",5705000
2022,OCT,STATE,19,6,TOTAL,"32,228,000",32228000
2022,OCT,STATE,27,6,TOTAL,"69,255,000",69255000
2022,OCT,STATE,34,6,TOTAL,"5,587,000",5587000
2022,OCT,STATE,35,6,TOTAL,"83,484,000",83484000
2022,OCT,STATE,36,6,TOTAL,"72,736,000",72736000
2022,OCT,STATE,39,6,TOTAL,"19,579,000",19579000
2022,OCT,STATE,,6,TOTAL,"217,941,000",217941000
2022,OCT,STATE,42,6,TOTAL,"35,881,000",35881000
2022,OCT,STATE,46,6,TOTAL,"44,267,000",44267000
2022,OCT,STATE,50,6,TOTAL,"12,164,000",12164000
2022,OCT,STATE,55,6,TOTAL,"294,562,000",294562000
2022,SEP,STATE,6,6,TOTAL,"193,458,000",193458000
2022,SEP,STATE,16,6,TOTAL,"86,570,000",86570000
2022,SEP,STATE,17,6,TOTAL,"5,058,000",5058000
2022,SEP,STATE,19,6,TOTAL,"31,579,000",31579000
2022,SEP,STATE,27,6,TOTAL,"64,623,000",64623000
2022,SEP,STATE,34,6,TOTAL,"5,325,000",5325000
2022,SEP,STATE,35,6,TOTAL,"77,408,000",77408000
2022,SEP,STATE,36,6,TOTAL,"70,353,000",70353000
2022,SEP,STATE,39,6,TOTAL,"19,450,000",19450000
2022,SEP,STATE,,6,TOTAL,"211,480,000",211480000
2022,SEP,STATE,42,6,TOTAL,"36,486,000",36486000
2022,SEP,STATE,46,6,TOTAL,"44,399,000",44399000
2022,SEP,STATE,50,6,TOTAL,"11,640,000",11640000
2022,SEP,STATE,55,6,TOTAL,"292,981,000",292981000
2022,YEAR,STATE,6,6,TOTAL,"2,460,538,000",2460538000
2022,YEAR,STATE,16,6,TOTAL,"989,539,000",989539000
2022,YEAR,STATE,17,6,TOTAL,"68,977,000",68977000
2022,YEAR,STATE,19,6,TOTAL,"389,996,000",389996000
2022,YEAR,STATE,27,6,TOTAL,"811,544,000",811544000
2022,YEAR,STATE,34,6,TOTAL,"61,780,000",61780000
2022,YEAR,STATE,35,6,TOTAL,"970,738,000",970738000
2022,YEAR,STATE,36,6,TOTAL,"843,648,000",843648000
